IRIS,Social_Housing,kmeans_class
751114321,0.2084342483190296,0
751114401,0.0080334429961498,1
751114402,0.0538235111823104,1
751114403,0.0191597660382598,1
751114404,0.183456296437115,0
751114405,0.0650589901801557,1
751114406,0.0675142170475746,1
751114407,0.0543761936132082,1
751114408,0.0034671636820316,1
751114409,0.2433535700142712,0
751114410,0.1971889472563548,0
751114411,0.2903246869082408,0
751114412,0.0979010122982571,1
751114413,0.0690464464269314,1
751124501,0.890753254556662,2
751124502,0.0538485063988173,1
751124503,0.2912039892011547,0
751124504,0.0207003205158443,1
751124505,0.1639036388722734,1
751124506,0.0685054989152001,1
751124507,0.3291016636311106,0
751124508,0.0511639180328174,1
751124509,0.2886020604029037,0
751124510,0.7487239855481596,2
751124511,0.8730831471407935,2
751124512,0.1015032859709239,1
751124513,0.0384461903247048,1
751124514,0.0092172567367138,1
751124601,0.1480131896392507,1
751124602,0.2093887267180392,0
751124603,0.0448772376300565,1
751124604,0.3895125448530284,0
751124605,0.1496057710983724,1
751124606,0.2533163675029534,0
751124608,0.0344647826313277,1
751124609,0.5540878102071397,2
751124610,0.1115864746803066,1
751124611,0.0,1
751124612,0.0050773236432186,1
751124613,0.5174762095046174,0
751124614,0.077255869108011,1
751124615,0.3371592169016003,0
751124616,0.401114823191469,0
751124617,0.0799669414207758,1
751124618,0.1300532183713974,1
751124619,0.3825496381113862,0
751124620,0.1786037303963989,1
751124621,0.0068310118210924,1
751124622,0.0,1
751124623,0.131020093327794,1
751124624,0.0,1
751124701,0.5719475505527858,2
751124702,0.5219437999958849,0
751124703,0.2055523558287693,0
751124704,0.1338924193073365,1
751124705,0.2294526152107805,0
751124706,0.0,1
751124707,0.0,1
751124708,0.0,1
751124799,0.0,1
751124801,0.1140025946537459,1
751124802,0.3129819958342632,0
751124803,0.0297081268653406,1
751124804,0.0643239082708689,1
751124805,0.1594351994610182,1
751124806,0.1513943435842926,1
751124807,0.0440406358865648,1
751124808,0.1153489253305637,1
751124809,0.1039261426312225,1
751124810,0.029581338704228,1
751124811,0.0,1
751124812,0.4876660636284989,0
751124813,0.036794935468457,1
751124888,0.0,1
751124899,0.0,1
751134901,0.6910520359223978,2
751134902,0.2645538963210597,0
751134903,0.0664956150594411,1
751134904,0.6052608898777913,2
751134905,0.0219380213202366,1
751134906,0.0023979534169328,1
751134907,0.1617556003452343,1
751134908,0.4193694787895289,0
751134999,0.0,1
751135001,0.7840181760733641,2
751135002,0.905224094830682,2
751135003,0.5162764515363404,0
751135004,0.0497787610619469,1
751135005,0.2902165612877999,0
751135006,0.2840728839902915,0
751135007,0.4955625382958546,0
751135008,0.718999247347215,2
751135009,0.764606314195386,2
751135010,0.1692765243773771,1
751135011,0.2644721918756805,0
751135012,0.0067152575871351,1
751135013,0.8372124556994691,2
751135014,0.062242095111848,1
751135015,0.2247165474046546,0
751135016,0.3295526748679211,0
751135017,0.0452072382404006,1
751135018,0.5013899749212064,0
751135019,0.1028905963167932,1
751135020,0.4837139173938131,0
751135021,0.5481504333451915,2
751135023,0.6088517156935433,2
751135024,0.1296344411940546,1
751135025,0.5227847404779455,0
751135026,0.8315122571570804,2
751135027,0.8373256532021753,2
751135028,0.6979282194175457,2
751135029,0.8134748273767021,2
751135030,0.7502175197840079,2
751135031,0.8319248991477252,2
751135032,0.0795454545454545,1
751135099,0.0,1
751135101,0.8891797074956872,2
751135102,0.1961140499142301,0
751135103,0.4057164810378383,0
751135104,0.1723513522371062,1
751135105,0.0803937015469309,1
751135106,0.4727216870512185,0
751135107,0.6632557862128807,2
751135108,0.8734311544403647,2
751135109,0.563980691348184,2
751135110,0.3644339791421489,0
751135111,0.3242726367705831,0
751135112,0.0694235577122234,1
751135113,0.0544273632728404,1
