IRIS,Social_Housing,kmeans_class
751093407,0.0958526503840156,0
751093408,0.0425746500105212,0
751093409,0.0,0
751093501,0.0930451070583022,0
751093502,0.0758922598670911,0
751093503,0.0531262014988094,0
751093504,0.0,0
751093601,0.0025414861776904,0
751093602,0.0163191660411545,0
751093603,0.2712674739028001,2
751093604,0.002856289598516,0
751093605,0.0034412124872452,0
751093606,0.0,0
751093607,0.054326295886257,0
751093608,0.0132881024499534,0
751093609,0.0093938067206779,0
751093610,0.084297347907582,0
751103701,0.0728546917881322,0
751103702,0.0755884876981783,0
751103703,0.0503431216271163,0
751103704,0.0197352090232055,0
751103705,0.0,0
751103706,0.0723450363772514,0
751103707,0.3715956869727387,2
751103708,0.0036431020565489,0
751103709,0.1103065728381206,0
751103710,0.0,0
751103711,0.0,0
751103712,0.0,0
751103801,0.0,0
751103802,0.1091391942316244,0
751103803,0.019261365552773,0
751103804,0.1142253023208476,0
751103805,0.0,0
751103806,0.0401741150305305,0
751103901,0.0652034048145545,0
751103902,0.0883775919903268,0
751103903,0.0,0
751103904,0.094209649288142,0
751103905,0.0127506339773492,0
751103906,0.0024972745154622,0
751103907,0.0484721014502922,0
751103908,0.0477332455362947,0
751103909,0.1799063370726524,2
751103910,0.0825318852696757,0
751103988,0.0,0
751104001,0.1039848720585163,0
751104002,0.4207546159515854,2
751104003,0.042429677818013,0
751104004,0.0618765844637764,0
751104005,0.0924694002407164,0
751104006,0.0776773199426981,0
751104007,0.333795908333651,2
751104008,0.1935735807253269,2
751104009,0.0047822591046607,0
751104010,0.352577176823628,2
751104011,0.0868967251587461,0
751104012,0.0,0
751104088,0.0,0
751114101,0.3368917487051233,2
751114102,0.09549702421195,0
751114103,0.125057011723109,0
751114104,0.0115352584894905,0
751114105,0.0233983425716127,0
751114106,0.0805054195567528,0
751114107,0.0,0
751114108,0.0155136073469337,0
751114109,0.1560950491154315,0
751114110,0.2047392647854864,2
751114111,0.3396567861443179,2
751114112,0.2912615163217873,2
751114113,0.0669678628329197,0
751114114,0.0,0
751114115,0.015976910100714,0
751114201,0.2250598996813546,2
751114202,0.1457331216512126,0
751114203,0.0853970048968249,0
751114204,0.0,0
751114205,0.1118181650394484,0
751114206,0.1358305534218835,0
751114207,0.155897059089568,0
751114208,0.0,0
751114209,0.0806411601859197,0
751114210,0.0548421700749954,0
751114211,0.1309316043030557,0
751114212,0.0,0
751114213,0.0985554612873454,0
751114214,0.0874292282805331,0
751114301,0.3303030348220084,2
751114302,0.1518818441499784,0
751114303,0.5893597427322559,1
751114304,0.2036907838835736,2
751114305,0.1256224706117233,0
751114306,0.096469587238372,0
751114307,0.3345455377600364,2
751114308,0.1615791056842281,0
751114309,0.07112344015558,0
751114310,0.0,0
751114311,0.0361217666087812,0
751114312,0.0,0
751114313,0.0024448646359406,0
751114314,0.3509621037785246,2
751114315,0.1035274315170887,0
751114316,0.0059763210749194,0
751114317,0.0348498337188762,0
751114318,0.0074260996015662,0
751114319,0.2013852672078577,2
751114320,0.1641143923326049,0
751114321,0.2084342483190296,2
751114401,0.0080334429961498,0
751114402,0.0538235111823104,0
751114403,0.0191597660382598,0
751114404,0.183456296437115,2
751114405,0.0650589901801557,0
751114406,0.0675142170475746,0
751114407,0.0543761936132082,0
751114408,0.0034671636820316,0
751114409,0.2433535700142712,2
751114410,0.1971889472563548,2
751114411,0.2903246869082408,2
751114412,0.0979010122982571,0
751114413,0.0690464464269314,0
751124501,0.890753254556662,1
751124502,0.0538485063988173,0
751124503,0.2912039892011547,2
