IRIS,LIBIRIS,COM,LIBCOM,DISP_TP6014,DISP_Q114,DISP_MED14,DISP_Q314,DISP_EQ14,DISP_D114,DISP_D214,DISP_D314,DISP_D414,DISP_D614,DISP_D714,DISP_D814,DISP_D914,DISP_RD14,DISP_S80S2014,DISP_GI14,DISP_PTSAC14,DISP_PBEN14,DISP_PPEN14,DISP_PPAT14,DISP_PPSOC14,DISP_PPFAM14,DISP_PPMINI14,DISP_PPLOGT14,DISP_PIMPOT14,note
911740401,Robinson La Nacelle,91174,Corbeil-Essonnes,,11222.5,15205.0,19036.0,0.5138770141400855,8648.333333333334,10258.75,12198.0,13565.151515151516,16565.8064516129,18001.25,20302.38095238095,24025.6,2.7780612834842935,3.239421945158328,0.228441205,,,,,,,,,,0
911740402,Essonnes Ouest,91174,Corbeil-Essonnes,27.911813643926784,11617.763157894737,16696.994949494947,22388.166666666664,0.6450504142422174,8100.303030303031,10399.6,12702.0,14772.307692307691,18865.555555555555,20852.85714285714,23964.0,28344.0,3.4991283528487522,4.207796660684461,0.2663537657,78.6,1.2,20.3,4.2,10.2,3.0,3.5,3.7,-14.5,0
911740501,Rive Droite,91174,Corbeil-Essonnes,25.459991442019685,12077.6,17071.6,22775.0,0.6266196490077087,8497.142857142857,11244.761904761905,13061.90476190476,14847.222222222224,19428.0,21388.0,24211.33333333333,29796.666666666664,3.5066689083165206,4.277409567787119,0.2720768155,78.9,2.2,20.1,5.1,9.0,3.2,2.9,2.8,-15.3,0
911740502,Centre ville,91174,Corbeil-Essonnes,20.262446931686608,13557.083333333334,20139.0,27435.0,0.6891065428604531,8885.238095238095,12138.333333333334,15075.384615384615,17913.793103448275,22391.0,25583.0,29635.0,36057.333333333336,4.058116726512675,5.063271358475734,0.2964947152,77.5,4.6,23.0,7.5,5.7,2.2,1.7,1.8,-18.3,0
911740503,Apport Paris Gare,91174,Corbeil-Essonnes,35.44558438945886,10039.333333333334,15128.666666666666,22113.33333333333,0.7980875159740886,7187.5,9042.857142857143,11212.5,13197.0,17916.0,20546.666666666664,23564.0,30116.666666666668,4.190144927536232,5.5616799787069535,0.3236713436,80.9,4.0,15.5,6.1,9.8,2.8,3.2,3.7,-16.3,0
911740601,Chantemerle,91174,Corbeil-Essonnes,23.65702479338843,12475.0,17907.69230769231,23306.666666666668,0.6048611111111112,8948.333333333334,11298.148148148148,13660.869565217392,15680.869565217392,19540.375,21814.5,24761.33333333333,30009.444444444445,3.353635065499472,4.106046180021409,0.2671144713,74.3,2.0,24.4,5.8,9.0,2.9,3.1,3.0,-15.5,0
911740602,Essonnes Est Nagis,91174,Corbeil-Essonnes,13.27579120427456,15967.0,22370.8,29788.75,0.6178478194789637,10856.666666666666,14532.142857142857,17240.555555555555,19724.666666666668,24369.23076923077,27606.0,31902.424242424244,38166.0,3.515443659809641,4.374570805206992,0.2772002566,74.9,4.5,27.0,8.8,3.9,1.9,1.0,1.0,-19.1,0
911740701,Montconseil,91174,Corbeil-Essonnes,25.786516853932586,12082.307692307691,16764.848484848484,21966.666666666668,0.5895883272247961,9343.0,11501.0,13100.847826086956,14945.0,18774.0,20724.761904761905,23462.48120300752,27717.33333333333,2.9666416925327335,3.385059487771463,0.2362197249,74.2,1.1,22.5,4.6,11.1,4.6,3.4,3.1,-13.5,0
911740801,Pressoir Prompt Bas Coudray,91174,Corbeil-Essonnes,19.34904601571268,13838.095238095237,19562.5,26304.666666666668,0.6372688270196258,9590.32258064516,12520.32258064516,15126.521739130436,17413.076923076922,21967.33333333333,24503.333333333336,27877.75,33737.5,3.5178691557349486,4.070390712705656,0.2653550368,85.3,1.3,16.8,6.3,7.3,3.5,1.7,2.2,-17.0,0
911820101,Canal 1,91182,Courcouronnes,26.990990990990998,11765.438596491227,16044.666666666666,20446.33333333333,0.5410455023585471,8831.387195121952,10858.82258064516,12665.833333333334,14065.714285714284,17588.4,19197.64705882353,21848.0,27266.0,3.087397188865241,3.514149492026046,0.2422885949,84.9,1.0,10.7,2.9,12.8,6.2,3.1,3.5,-12.3,0
911820102,Canal 2,91182,Courcouronnes,35.50007174630507,10900.95238095238,14313.846153846154,18565.714285714286,0.5354788519018958,8695.238095238095,10379.166666666668,11565.0,12811.25,15753.0,17626.25,19987.391304347828,23818.8,2.739292442497262,3.1165669617844407,0.2244259818,82.2,0.7,7.5,2.0,18.1,8.1,4.4,5.6,-10.5,0
911820103,Canal 3,91182,Courcouronnes,27.59856630824373,11655.862068965518,16558.42105263158,22509.52380952381,0.6554768541070135,8215.0,10797.692307692309,12674.0,14434.666666666666,19205.714285714286,21010.0,24427.14285714285,28116.666666666664,3.4226009332521805,3.87346309924469,0.258594517,91.2,1.4,7.8,3.4,10.2,4.3,2.8,3.2,-14.0,0
911820104,Courcouronnes Centre Nord,91182,Courcouronnes,,21535.263157894737,27102.666666666668,33193.5,0.4301509141328749,15779.09090909091,20175.384615384613,22475.652173913044,25350.0,28794.333333333336,31422.0,35210.0,41454.0,2.627147548539494,2.9639339026274967,0.2034025077,69.2,2.3,37.0,8.7,2.3,1.7,0.4,0.2,-19.5,0
911820105,Courcouronnes Centre Sud,91182,Courcouronnes,,19425.33333333333,26581.33333333333,36002.857142857145,0.6236528319192849,13962.083333333334,17870.0,20496.666666666668,23126.0,29859.52380952381,33776.666666666664,38698.88888888889,45980.66666666666,3.2932525590139954,3.81432042219691,0.2632336707,76.1,2.4,29.6,9.8,2.8,1.7,0.7,0.5,-20.7,0
912010101,S2,91201,Draveil,,20710.0,26861.0,35806.92307692308,0.5620387579361557,14964.666666666666,19267.61904761905,21885.0,24617.33333333333,30106.4,33562.8,37879.6,47182.66666666666,3.152938031808259,3.656628279178629,0.2513330686,85.3,4.4,19.2,10.4,2.5,1.6,0.5,0.4,-21.8,0
